name,value,description
Cryptocurrency Hardware Wallet,100,"Secure hardware wallet for storing cryptocurrencies offline"
Blockchain Developer Course,500,"Online course covering fundamentals and advanced topics in blockchain development"
Blockchain Conference Ticket,300,"Admission ticket to a blockchain technology conference"
Crypto Artwork,200,"Digital artwork tokenized on the blockchain using NFTs (Non-Fungible Tokens)"
Mining Rig Components,1500,"High-performance hardware components for building a cryptocurrency mining rig"
Decentralized Finance (DeFi) Token,250,"Token representing ownership in a decentralized finance project"
Blockchain Books Bundle,100,"Set of books covering various aspects of blockchain technology and cryptocurrencies"
Blockchain Certification Exam,400,"Exam fee for earning a professional certification in blockchain technology"
Crypto Trading Bot License,800,"License for using an automated cryptocurrency trading bot"
Blockchain Consulting Service,2000,"Professional consultation service for implementing blockchain solutions"
Blockchain-themed Hoodie,75,"Hoodie featuring blockchain-themed design and slogans"
Blockchain-themed Coffee Mug,50,"Coffee mug with blockchain-related artwork and slogans"
Cryptocurrency Mining Farm Tour,1000,"Guided tour of a cryptocurrency mining facility to learn about mining operations"
Blockchain-themed Laptop Stickers Pack,20,"Pack of vinyl stickers featuring blockchain logos and symbols"
Crypto Investment Fund Membership,5000,"Membership in a cryptocurrency investment fund with access to expert insights"
Blockchain-themed T-shirt,50,"T-shirt with creative designs related to blockchain technology"
Blockchain-based Voting System Demo,300,"Demo access to a blockchain-based voting system for secure and transparent voting"
Blockchain Developer Toolkit,750,"Toolkit containing software tools and resources for blockchain development"
Decentralized Identity Solution,2000,"Solution for creating and managing decentralized identities using blockchain"
